sample,sex,age,cg27099280,cg02935847,cg11164348,cg12670525,cg21801378,cg16778903,cg25311807,cg15193953,cg07483413,cg09616463,cg15628888,cg02687928,cg20809087,cg01928245,cg06534553,cg16477190,cg16460359,cg01373151,cg03621881,cg11766298,cg03943826,cg10786045
GSM2333901,0,72,,,,0.92358428,0.14362704,0.05248222,0.94278931,0.96994400,0.96681795,0.01912886,,,0.19601592,,0.64206696,0.03591173,0.01669329,0.14123998,0.03726850,,0.09235988,
GSM2333902,0,55,,,,0.92388082,0.06730512,0.07447311,0.93167194,0.97453763,0.95757561,0.02008541,,,0.03656020,,0.62515587,0.06035616,0.01586532,0.12942441,0.11472550,,0.09236445,
GSM2333903,0,23,,,,0.93125635,0.02631541,0.06128374,0.95682852,0.98243349,0.98011905,0.01454572,,,0.04746623,,0.61504909,0.03099283,0.01352317,0.15505987,0.03826248,,0.08469611,
GSM2333904,0,86,,,,0.91102378,0.16120672,0.06455402,0.95636689,0.98635231,0.97393998,0.02143918,,,0.16591434,,0.63214146,0.03219807,0.01491101,0.11553007,0.03631870,,0.08727121,
GSM2333905,0,74,,,,0.90233599,0.09499796,0.07147043,0.93490581,0.97943724,0.97503228,0.01730449,,,0.12657130,,0.66329177,0.04753993,0.01573521,0.13606648,0.04125370,,0.09103607,
GSM2333906,1,76,,,,0.93799581,0.15489779,0.08258799,0.91011158,0.98154094,0.97305982,0.01849235,,,0.17484554,,0.58965332,0.03561220,0.01877316,0.11786190,0.03483978,,0.09210007,
GSM2333907,0,18,,,,0.95107114,0.03556143,0.07006569,0.94035897,0.97291192,0.96589888,0.01462121,,,0.05094504,,0.63441789,0.02902122,0.01375713,0.10729642,0.02648693,,0.09591313,
GSM2333908,0,38,,,,0.90500284,0.03834228,0.06934403,0.92706001,0.97793454,0.96006172,0.02463378,,,0.04032325,,0.57644714,0.06336020,0.01695557,0.10407010,0.00000000,,0.10033918,
GSM2333909,1,33,,,,0.89165786,0.06365056,0.07390634,0.91916944,0.98567211,0.97591883,0.02183874,,,0.07076626,,0.63186801,0.04567709,0.01925422,0.11351723,0.11752553,,0.08684367,
GSM2333910,1,34,,,,0.91339435,0.02624546,0.07089948,0.91632143,0.98176263,0.97577006,0.02108155,,,0.03966146,,0.62477016,0.04016483,0.01755917,0.11271763,0.11231721,,0.09059963,
