sample,sex,age,cg02221805,cg12479674,cg23704082,cg07553761,cg10273210,cg11614451,cg11075316,cg25113081,cg15618978,cg08816037,cg19996272,cg04008429,cg01459132,cg14931304,cg26433838,cg26856080,cg02095937
GSM2333901,0,72,,0.02157084,0.05569777,0.41844200,0.07906273,0.03866451,0.02978088,0.91686591,0.33860659,0.03411956,,0.01403546,0.07424671,0.01467788,0.13249366,0.01824143,0.09781838
GSM2333902,0,55,,0.02373986,0.04963781,0.24108006,0.07948045,0.03586765,0.03223378,0.88798522,0.11344871,0.02360537,,0.01298284,0.09393827,0.01379566,0.05418368,0.01838498,0.00000000
GSM2333903,0,23,,0.01993888,0.04589128,0.19558893,0.06255389,0.04425811,0.02842846,0.94531373,0.15785609,0.04249889,,0.01316145,0.06055590,0.01237892,0.11277797,0.01705490,0.08545180
GSM2333904,0,86,,0.01907606,0.04656434,0.48943228,0.06306878,0.03964925,0.02803723,0.93483188,0.38191446,0.02973079,,0.01366667,0.05306616,0.01447300,0.10837344,0.01530484,0.13274848
GSM2333905,0,74,,0.02097402,0.05115149,0.31400540,0.07266275,0.03682314,0.03583276,0.91717005,0.22897367,0.03717802,,0.01228449,0.08050800,0.01547509,0.12941000,0.01705508,0.10630697
GSM2333906,1,76,,0.02384334,0.04485804,0.39624706,0.06410720,0.04654230,0.03370909,0.86772948,0.35647030,0.02947946,,0.01387965,0.06844190,0.01337635,0.10166043,0.02070313,0.00000000
GSM2333907,0,18,,0.01809253,0.04253602,0.17629753,0.07093624,0.04101633,0.03396475,0.87301582,0.17222241,0.03310983,,0.01384204,0.07764804,0.01236467,0.13320793,0.01499423,0.00000000
GSM2333908,0,38,,0.02788342,0.06348984,0.17821187,0.07813851,0.03408534,0.03485295,0.88497700,0.11342742,0.03476615,,0.01523615,0.08152734,0.01690141,0.05459854,0.02060103,0.00000000
GSM2333909,1,33,,0.02158061,0.05167496,0.25113685,0.08509350,0.03544320,0.04417226,0.00000000,0.21895743,0.03070794,,0.01528071,0.06845778,0.01098526,0.09799635,0.02138672,0.00000000
GSM2333910,1,34,,0.02298984,0.05077263,0.23485613,0.08248844,0.05101331,0.03746412,0.88035616,0.20646739,0.03000665,,0.01443301,0.10325413,0.01635089,0.09070327,0.02098589,0.00000000
GSM2333911,1,86,,0.01888766,0.04228073,0.48803285,0.05992614,0.03360190,0.03387840,0.93271414,0.42333409,0.02270167,,0.01270641,0.05636468,0.01196638,0.11102859,0.01828750,0.08688751
GSM2333912,1,18,,0.01914247,0.04096354,0.18008289,0.07941071,0.03406984,0.04129221,0.90169905,0.17295657,0.03589121,,0.01438480,0.06386635,0.01440603,0.13205530,0.01795406,0.13656585
GSM2333913,0,65,,0.01905881,0.05255554,0.36317849,0.08151908,0.04251355,0.03859536,0.91779642,0.32525775,0.02872173,,0.01531197,0.07794418,0.01486316,0.12391194,0.01997696,0.00000000
GSM2333914,0,55,,0.02602460,0.05876142,0.29355461,0.08120838,0.03865220,0.03381774,0.92156906,0.25205446,0.03224362,,0.01805891,0.07134702,0.01445055,0.12212689,0.02106331,0.15091666
GSM2333915,1,65,,0.02100887,0.04865217,0.35862659,0.07841762,0.04568648,0.04065708,0.85772039,0.29573101,0.03655129,,0.01470632,0.06453185,0.01472355,0.12497356,0.02251910,0.10496241
GSM2333916,0,59,,0.01845554,0.05253933,0.31582517,0.07725270,0.04088817,0.04064884,0.87345651,0.27480533,0.04425815,,0.01585062,0.07815147,0.01656992,0.11951483,0.01856535,0.00000000
GSM2333917,1,80,,0.02312370,0.04173610,0.41756305,0.07158947,0.04241751,0.03178449,0.91769368,0.32083102,0.03397328,,0.01641697,0.06313289,0.01336416,0.12627133,0.01830388,0.12478370
GSM2333918,0,60,,0.01948133,0.04908424,0.31031972,0.07003742,0.04266213,0.03733494,0.93321275,0.29320671,0.04237958,,0.01527416,0.06371681,0.01569117,0.14559935,0.02019757,0.00000000
GSM2333919,1,55,,0.01766211,0.04533223,0.28631786,0.09086401,0.04473243,0.04247088,0.92617285,0.24531023,0.03101301,,0.01397943,0.05997855,0.01578064,0.12835590,0.01875664,0.00000000
GSM2333920,0,63,,0.01753465,0.05163427,0.32655124,0.07796376,0.04672540,0.03599239,0.89944772,0.26868830,0.03495047,,0.01350226,0.08977848,0.01442392,0.13291126,0.01654193,0.00000000
GSM2333921,0,29,,0.02279516,0.04514550,0.17590418,0.09129975,0.04539068,0.03089749,0.92243636,0.15634976,0.03148715,,0.01828985,0.06270868,0.01385646,0.13754279,0.01805808,0.00000000
GSM2333922,1,68,,0.01912373,0.04946376,0.27982231,0.06490834,0.03924994,0.03679775,0.92657777,0.25145906,0.03204392,,0.01260798,0.06518526,0.01142428,0.11246520,0.02005862,0.11362173
GSM2333923,0,22,,0.02128309,0.05495750,0.10922096,0.07895351,0.03561099,0.03423484,0.90732933,0.04013402,0.03021356,,0.01628168,0.08800169,0.01962138,0.13761617,0.01948902,0.12021177
GSM2333924,1,16,,0.01680822,0.05882893,0.16386854,0.08481765,0.06819803,0.03230082,0.92600681,0.14735469,0.03899656,,0.01410468,0.05904160,0.01263116,0.13342003,0.01798442,0.12656756
GSM2333925,1,75,,0.02150237,0.04727839,0.35732137,0.06560079,0.03917201,0.03302560,0.89088636,0.28250478,0.03571485,,0.01520638,0.08510126,0.01343409,0.13691212,0.01913439,0.12988925
GSM2333926,0,16,,0.01698782,0.05028926,0.19691605,0.08436582,0.04516078,0.03346854,0.91410743,0.18305376,0.03559529,,0.01776015,0.05622562,0.01113453,0.13424054,0.01973871,0.00000000
GSM2333927,1,74,,0.02047284,0.05119693,0.30412018,0.07874001,0.03435691,0.02153651,0.87800828,0.31930981,0.02949678,,0.01237183,0.09060257,0.01515989,0.12362955,0.01890813,0.00000000
GSM2333928,1,63,,0.01908693,0.05820747,0.37286117,0.06917081,0.03294163,0.02698280,0.88721284,0.32459667,0.04288954,,0.01179877,0.08199142,0.01435379,0.08977530,0.01718693,0.00000000
