Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
785,1,gamboost,0.6877643936,8.192180226,,,,,,,,0.03623129392,0.8140856749,0.8151921467
3918,1,gamboost,0.7198319964,7.754180892,,,,,,,,,,
1423,1,gamboost,0.7208656411,8.134426868,,,,,,,,,,
3359,1,gamboost,0.7276560576,7.984050071,,,,,,,,,,
1566,1,gamboost,0.7280091984,8.182966565,,,,,,,,,,
145,1,gamboost,0.7286840773,8.247111596,,,,,,,,,,
935,1,gamboost,0.7315718512,8.01455348,,,,,,,,,,
2033,1,gamboost,0.7320980435,7.763533507,,,,,,,,,,
3652,1,gamboost,0.7364083978,8.159734211,,,,,,,,,,
959,1,gamboost,0.7379510592,7.89734748,,,,,,,,,,
3698,1,gamboost,0.7380747784,7.890571887,,,,,,,,,,
2764,1,gamboost,0.7387131308,7.922178204,,,,,,,,,,
1738,1,gamboost,0.7390667671,8.14347907,,,,,,,,,,
3185,1,gamboost,0.7397636173,7.721962522,,,,,,,,,,
559,1,gamboost,0.7411374676,8.015894422,,,,,,,,,,
2311,1,gamboost,0.7415445058,7.913550865,,,,,,,,,,
2635,1,gamboost,0.7419205077,8.008497656,,,,,,,,,,
2070,1,gamboost,0.7421859219,7.655218218,,,,,,,,,,
3621,1,gamboost,0.742484079,7.835276445,,,,,,,,,,
2365,1,gamboost,0.743300794,7.886122413,,,,,,,,,,
847,1,gamboost,0.7437731549,7.940457698,,,,,,,,,,
1764,1,gamboost,0.743881646,7.863830034,,,,,,,,,,
1454,1,gamboost,0.7440359978,7.745306011,,,,,,,,,,
1000,1,gamboost,0.744645595,7.982162841,,,,,,,,,,
1330,1,gamboost,0.7457564253,7.84499753,,,,,,,,,,
2946,1,gamboost,0.7468910248,7.929453846,,,,,,,,,,
3700,1,gamboost,0.7472098063,7.614079569,,,,,,,,,,
270,1,gamboost,0.7472722187,7.874405526,,,,,,,,,,
2819,1,gamboost,0.7473811069,7.730180466,,,,,,,,,,
3457,1,gamboost,0.747476784,7.908051227,,,,,,,,,,
3546,1,gamboost,0.7480336551,7.796796129,,,,,,,,,,
1197,1,gamboost,0.749317361,7.971295967,,,,,,,,,,
3177,1,gamboost,0.7495862528,7.782433485,,,,,,,,,,
3448,1,gamboost,0.7499762489,7.796536795,,,,,,,,,,
3730,1,gamboost,0.7501334471,8.1348307,,,,,,,,,,
1020,1,gamboost,0.7503050609,7.908906014,,,,,,,,,,
3740,1,gamboost,0.750553904,7.911005988,,,,,,,,,,
2549,1,gamboost,0.7506043995,7.745129089,,,,,,,,,,
1944,1,gamboost,0.7508309312,7.992450338,,,,,,,,,,
2259,1,gamboost,0.7510303474,7.501431307,,,,,,,,,,
3670,1,gamboost,0.7510839934,7.530982576,,,,,,,,,,
3699,1,gamboost,0.7511818121,7.899825051,,,,,,,,,,
3982,1,gamboost,0.7512452256,7.851961642,,,,,,,,,,
442,1,gamboost,0.7515340695,7.679232067,,,,,,,,,,
3676,1,gamboost,0.7515844027,8.000430572,,,,,,,,,,
317,1,gamboost,0.7516057221,7.696316418,,,,,,,,,,
1067,1,gamboost,0.7518466121,7.858387321,,,,,,,,,,
2349,1,gamboost,0.7520680222,7.99383118,,,,,,,,,,
1488,1,gamboost,0.7527718716,7.732357919,,,,,,,,,,
637,1,gamboost,0.7527744182,6.845695032,,,,,,,,,,
3407,1,gamboost,0.7530040277,7.40505703,,,,,,,,,,
2821,1,gamboost,0.753555942,7.285005418,,,,,,,,,,
494,1,gamboost,0.7535897948,7.945997997,,,,,,,,,,
787,1,gamboost,0.7541302855,7.946350414,,,,,,,,,,
204,1,gamboost,0.7542037981,7.997529688,,,,,,,,,,
2208,1,gamboost,0.7542660005,7.77718143,,,,,,,,,,
2692,1,gamboost,0.754375789,7.954041705,,,,,,,,,,
2191,1,gamboost,0.7545483574,7.835933479,,,,,,,,,,
412,1,gamboost,0.7548923367,7.736892504,,,,,,,,,,
3506,1,gamboost,0.7549345524,7.6432075,,,,,,,,,,
2952,1,gamboost,0.7552115861,8.192667896,,,,,,,,,,
2590,1,gamboost,0.7553215284,7.972958116,,,,,,,,,,
1649,1,gamboost,0.7555924853,8.03291307,,,,,,,,,,
3237,1,gamboost,0.7557016393,7.448520676,,,,,,,,,,
422,1,gamboost,0.7558933584,7.483552662,,,,,,,,,,
2399,1,gamboost,0.7560581927,7.976463934,,,,,,,,,,
2102,1,gamboost,0.7563625299,7.400199987,,,,,,,,,,
969,1,gamboost,0.7567089975,7.447112301,,,,,,,,,,
2537,1,gamboost,0.7568978517,7.094239351,,,,,,,,,,
2265,1,gamboost,0.7569859658,8.072776522,,,,,,,,,,
569,1,gamboost,0.7570999794,7.691640795,,,,,,,,,,
3645,1,gamboost,0.7571495319,7.522807093,,,,,,,,,,
1608,1,gamboost,0.7573608965,7.322830884,,,,,,,,,,
457,1,gamboost,0.7573686445,7.620138521,,,,,,,,,,
3036,1,gamboost,0.7573781633,7.877019919,,,,,,,,,,
3340,1,gamboost,0.7574520139,7.863444462,,,,,,,,,,
492,1,gamboost,0.757724691,7.532097053,,,,,,,,,,
1094,1,gamboost,0.7577717365,7.67123895,,,,,,,,,,
3691,1,gamboost,0.7577737348,7.221717677,,,,,,,,,,
2874,1,gamboost,0.7578133922,8.004786415,,,,,,,,,,
2735,1,gamboost,0.7578151881,7.9405122,,,,,,,,,,
2677,1,gamboost,0.7581278003,7.490489857,,,,,,,,,,
3765,1,gamboost,0.758171404,7.299748019,,,,,,,,,,
326,1,gamboost,0.758312863,7.752139601,,,,,,,,,,
1450,1,gamboost,0.7583319485,7.787064996,,,,,,,,,,
2913,1,gamboost,0.7583349217,7.253964701,,,,,,,,,,
1580,1,gamboost,0.7584230904,7.768846565,,,,,,,,,,
2659,1,gamboost,0.7585085916,7.118382873,,,,,,,,,,
1410,1,gamboost,0.7585593873,7.827330931,,,,,,,,,,
820,1,gamboost,0.758774479,7.365152042,,,,,,,,,,
3137,1,gamboost,0.7589028173,7.695514064,,,,,,,,,,
562,1,gamboost,0.7589570634,7.659062916,,,,,,,,,,
3235,1,gamboost,0.7590946833,7.229055121,,,,,,,,,,
2681,1,gamboost,0.7592880324,8.004813625,,,,,,,,,,
1993,1,gamboost,0.7594143846,7.821588717,,,,,,,,,,
68,1,gamboost,0.7595508353,7.569324908,,,,,,,,,,
1865,1,gamboost,0.7598014919,7.737139665,,,,,,,,,,
988,1,gamboost,0.7598768293,7.596799515,,,,,,,,,,
2117,1,gamboost,0.7599525101,7.940928043,,,,,,,,,,
10,1,gamboost,0.7601376923,7.661909437,,,,,,,,,,
3279,1,gamboost,0.7602183275,7.628282644,,,,,,,,,,
3818,1,gamboost,0.7603022463,8.394821581,,,,,,,,,,
448,1,gamboost,0.7607245589,7.949594885,,,,,,,,,,
710,1,gamboost,0.7607717816,7.385744058,,,,,,,,,,
747,1,gamboost,0.7608389534,7.670062578,,,,,,,,,,
954,1,gamboost,0.7609462669,7.551963751,,,,,,,,,,
2998,1,gamboost,0.7609972198,7.437854717,,,,,,,,,,
3281,1,gamboost,0.761043378,7.566568038,,,,,,,,,,
955,1,gamboost,0.7616133993,7.762665453,,,,,,,,,,
1213,1,gamboost,0.761735227,7.65256154,,,,,,,,,,
3906,1,gamboost,0.7617724595,7.333791555,,,,,,,,,,
515,1,gamboost,0.7617771291,7.892205804,,,,,,,,,,
975,1,gamboost,0.7617963847,7.688240728,,,,,,,,,,
472,1,gamboost,0.7618234616,7.620728554,,,,,,,,,,
3823,1,gamboost,0.7619288267,7.549150129,,,,,,,,,,
2140,1,gamboost,0.7619396212,7.915540059,,,,,,,,,,
3851,1,gamboost,0.7624187811,7.355405795,,,,,,,,,,
978,1,gamboost,0.7625771315,8.030901691,,,,,,,,,,
1970,1,gamboost,0.7628048787,7.508946993,,,,,,,,,,
3360,1,gamboost,0.7628381884,7.707609726,,,,,,,,,,
1204,1,gamboost,0.763061631,8.041418599,,,,,,,,,,
3326,1,gamboost,0.7631323572,7.710905192,,,,,,,,,,
2351,1,gamboost,0.7633751767,7.851632132,,,,,,,,,,
