Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
1256,8479,gamLoess,0.8533964832,6.050783067,,,,,,,,0.01886036255,0.9019249949,0.9025571038
2285,8479,gamLoess,0.8535342049,5.915410427,,,,,,,,,,
1915,8479,gamLoess,0.8540518894,5.613861499,,,,,,,,,,
926,8479,gamLoess,0.8552924606,5.92127335,,,,,,,,,,
1709,8479,gamLoess,0.856093373,5.744969995,,,,,,,,,,
1425,8479,gamLoess,0.8586766238,5.716096319,,,,,,,,,,
879,8479,gamLoess,0.8597114432,5.829518748,,,,,,,,,,
2811,8479,gamLoess,0.8601607077,5.705422397,,,,,,,,,,
644,8479,gamLoess,0.8605428068,6.154938514,,,,,,,,,,
2610,8479,gamLoess,0.8609829938,5.933402141,,,,,,,,,,
1742,8479,gamLoess,0.86121578,6.009382604,,,,,,,,,,
1254,8479,gamLoess,0.8613418672,5.925459564,,,,,,,,,,
714,8479,gamLoess,0.8623686593,5.794911345,,,,,,,,,,
1483,8479,gamLoess,0.8624745216,5.980177449,,,,,,,,,,
2035,8479,gamLoess,0.8630497684,5.650556825,,,,,,,,,,
1454,8479,gamLoess,0.8631621968,5.754058525,,,,,,,,,,
1094,8479,gamLoess,0.8634216788,5.81288359,,,,,,,,,,
1646,8479,gamLoess,0.8636090746,6.193139057,,,,,,,,,,
2366,8479,gamLoess,0.8638585335,5.864934658,,,,,,,,,,
2017,8479,gamLoess,0.863994901,5.74897725,,,,,,,,,,
633,8479,gamLoess,0.864224236,5.367725872,,,,,,,,,,
2537,8479,gamLoess,0.8643292947,5.365435014,,,,,,,,,,
408,8479,gamLoess,0.8644187859,5.649130946,,,,,,,,,,
152,8479,gamLoess,0.8644713057,5.716027819,,,,,,,,,,
1910,8479,gamLoess,0.8646114115,5.567356935,,,,,,,,,,
546,8479,gamLoess,0.8649266523,5.595092865,,,,,,,,,,
789,8479,gamLoess,0.865128534,5.567494517,,,,,,,,,,
2255,8479,gamLoess,0.8657454535,6.094193013,,,,,,,,,,
1305,8479,gamLoess,0.8659818336,5.615901114,,,,,,,,,,
2765,8479,gamLoess,0.8664088052,5.881379413,,,,,,,,,,
3923,8479,gamLoess,0.8666521787,5.681719877,,,,,,,,,,
45,8479,gamLoess,0.8666813713,5.73618755,,,,,,,,,,
3390,8479,gamLoess,0.866714782,5.829776102,,,,,,,,,,
2459,8479,gamLoess,0.8667157783,5.626427123,,,,,,,,,,
3511,8479,gamLoess,0.8667323112,5.769655882,,,,,,,,,,
3776,8479,gamLoess,0.8667879243,5.830526326,,,,,,,,,,
2020,8479,gamLoess,0.8669837843,5.642020376,,,,,,,,,,
2710,8479,gamLoess,0.8670285051,5.830468206,,,,,,,,,,
2336,8479,gamLoess,0.8672376908,5.716402783,,,,,,,,,,
106,8479,gamLoess,0.8674171031,5.543371448,,,,,,,,,,
1991,8479,gamLoess,0.8676942031,5.667280028,,,,,,,,,,
439,8479,gamLoess,0.8678004287,5.667917805,,,,,,,,,,
3021,8479,gamLoess,0.8678643926,5.71963676,,,,,,,,,,
965,8479,gamLoess,0.8680354961,5.803197472,,,,,,,,,,
251,8479,gamLoess,0.8680506442,5.580179199,,,,,,,,,,
3539,8479,gamLoess,0.8682874171,5.077667301,,,,,,,,,,
2650,8479,gamLoess,0.8683074091,6.012040658,,,,,,,,,,
450,8479,gamLoess,0.8684290753,5.525091132,,,,,,,,,,
3691,8479,gamLoess,0.8687928664,5.598616343,,,,,,,,,,
3661,8479,gamLoess,0.8689251668,5.031144639,,,,,,,,,,
1777,8479,gamLoess,0.8690834778,5.505426296,,,,,,,,,,
620,8479,gamLoess,0.8690950577,5.498652116,,,,,,,,,,
661,8479,gamLoess,0.8693225575,5.401329948,,,,,,,,,,
2158,8479,gamLoess,0.8693628458,5.676958294,,,,,,,,,,
1458,8479,gamLoess,0.8694159679,5.505132232,,,,,,,,,,
647,8479,gamLoess,0.8694739282,5.703047981,,,,,,,,,,
3393,8479,gamLoess,0.8694885173,5.413036342,,,,,,,,,,
2825,8479,gamLoess,0.8695648488,5.36119841,,,,,,,,,,
1982,8479,gamLoess,0.8697956073,5.540896998,,,,,,,,,,
3988,8479,gamLoess,0.8699210302,5.58125207,,,,,,,,,,
1925,8479,gamLoess,0.8700585186,5.829289755,,,,,,,,,,
2266,8479,gamLoess,0.8701438815,5.937479458,,,,,,,,,,
73,8479,gamLoess,0.8701701186,5.683664594,,,,,,,,,,
3235,8479,gamLoess,0.8703732939,5.195222333,,,,,,,,,,
3202,8479,gamLoess,0.8703772303,5.633132696,,,,,,,,,,
445,8479,gamLoess,0.8703802453,5.431327849,,,,,,,,,,
3738,8479,gamLoess,0.8704892273,5.492298169,,,,,,,,,,
3536,8479,gamLoess,0.8707126227,5.445708565,,,,,,,,,,
941,8479,gamLoess,0.8707901134,5.880105473,,,,,,,,,,
302,8479,gamLoess,0.8709738364,5.608978112,,,,,,,,,,
1627,8479,gamLoess,0.8713714271,5.907929301,,,,,,,,,,
2089,8479,gamLoess,0.8714004035,5.489304899,,,,,,,,,,
3259,8479,gamLoess,0.8714329841,5.780798816,,,,,,,,,,
3946,8479,gamLoess,0.8714559158,5.484951425,,,,,,,,,,
2927,8479,gamLoess,0.8715014406,5.505790818,,,,,,,,,,
3185,8479,gamLoess,0.8716318018,5.630063958,,,,,,,,,,
3533,8479,gamLoess,0.8716787421,5.574500202,,,,,,,,,,
68,8479,gamLoess,0.8717806213,5.323088462,,,,,,,,,,
3178,8479,gamLoess,0.8718509787,5.496454941,,,,,,,,,,
2529,8479,gamLoess,0.8719848022,5.67417298,,,,,,,,,,
1108,8479,gamLoess,0.8721417815,5.79795259,,,,,,,,,,
1432,8479,gamLoess,0.8722976955,5.633527976,,,,,,,,,,
2653,8479,gamLoess,0.8723775301,5.699889933,,,,,,,,,,
2638,8479,gamLoess,0.8724002461,5.866666434,,,,,,,,,,
2317,8479,gamLoess,0.8724757379,5.799384597,,,,,,,,,,
2485,8479,gamLoess,0.8724872626,5.581860631,,,,,,,,,,
2752,8479,gamLoess,0.8725135818,5.943843001,,,,,,,,,,
957,8479,gamLoess,0.8725377974,5.651854176,,,,,,,,,,
1465,8479,gamLoess,0.8725897059,5.627680838,,,,,,,,,,
2309,8479,gamLoess,0.8725995089,5.662448412,,,,,,,,,,
2589,8479,gamLoess,0.8726251539,5.497644454,,,,,,,,,,
