Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
brnn,0.8693570231,6.125297697,8.044653676,3178,1,full_before_split,split_separate
brnn,0.8651623531,5.953322039,7.628450137,269,1,full_before_split,split_separate
brnn,0.863399457,6.182814185,8.113496151,3419,1,full_before_split,split_separate
brnn,0.8608877948,6.064899673,7.912449843,783,1,full_before_split,split_separate
brnn,0.8573721342,6.695159643,8.308533913,2777,1,full_before_split,split_separate
brnn,0.8570905708,6.219887312,7.947808142,176,1,full_before_split,split_separate
brnn,0.8521705241,5.972870016,7.924142181,3823,1,full_before_split,split_separate
brnn,0.8500313207,6.469244773,8.236406491,1666,1,full_before_split,split_separate
brnn,0.8495330871,6.572568541,8.544120767,599,1,full_before_split,split_separate
brnn,0.8476797254,6.593281783,8.166302304,1523,1,full_before_split,split_separate
brnn,0.8471367857,6.639810092,8.571900247,2063,1,full_before_split,split_separate
brnn,0.8464864397,6.56577919,8.483756496,1214,1,full_before_split,split_separate
brnn,0.8461449156,6.258105892,8.355750413,2611,1,full_before_split,split_separate
brnn,0.8442030086,6.782854445,8.789310004,2123,1,full_before_split,split_separate
brnn,0.8431997332,6.631667737,8.628159362,2030,1,full_before_split,split_separate
brnn,0.8426328632,6.636445696,8.428843024,577,1,full_before_split,split_separate
brnn,0.8419470999,6.478385563,8.569814894,3215,1,full_before_split,split_separate
brnn,0.8411768228,6.717284954,8.495319258,2827,1,full_before_split,split_separate
brnn,0.8401211332,6.396944337,8.387912739,1810,1,full_before_split,split_separate
brnn,0.8393563105,6.514716386,8.639368703,966,1,full_before_split,split_separate
brnn,0.8391046633,6.892600021,8.711791286,2245,1,full_before_split,split_separate
brnn,0.8389704815,6.676784098,8.807418384,2909,1,full_before_split,split_separate
brnn,0.8383317853,6.620272764,8.439233849,456,1,full_before_split,split_separate
brnn,0.8380881128,6.51159574,8.415887864,1395,1,full_before_split,split_separate
brnn,0.8379925521,6.731946499,8.418366528,1381,1,full_before_split,split_separate
brnn,0.8369446366,6.448564703,8.312397214,2569,1,full_before_split,split_separate
brnn,0.8361696915,6.66129566,8.549683946,2363,1,full_before_split,split_separate
brnn,0.8358935153,6.555692086,8.526170348,2414,1,full_before_split,split_separate
brnn,0.8358845501,6.560308437,8.489986833,839,1,full_before_split,split_separate
brnn,0.8356388377,6.35583609,8.350472524,933,1,full_before_split,split_separate
brnn,0.834923622,6.67963216,8.49435866,288,1,full_before_split,split_separate
brnn,0.8339938647,6.770981979,8.558571994,1305,1,full_before_split,split_separate
brnn,0.8336455046,6.728484922,8.59922655,260,1,full_before_split,split_separate
brnn,0.8330148949,6.726817636,8.583638341,1059,1,full_before_split,split_separate
brnn,0.832843045,6.391743689,8.52328472,1100,1,full_before_split,split_separate
brnn,0.8326178442,6.413314102,8.539892154,369,1,full_before_split,split_separate
brnn,0.8325543961,7.005223257,8.904748921,1614,1,full_before_split,split_separate
brnn,0.8323588162,6.903306872,8.763476408,2013,1,full_before_split,split_separate
brnn,0.8318423776,6.037401512,8.619072981,1266,1,full_before_split,split_separate
brnn,0.8314297001,6.747286812,8.671291857,2342,1,full_before_split,split_separate
brnn,0.8313977696,6.447833361,8.452345637,3810,1,full_before_split,split_separate
brnn,0.8313075673,6.517968688,8.384588358,20,1,full_before_split,split_separate
brnn,0.8302938064,6.648111588,8.675273832,1051,1,full_before_split,split_separate
brnn,0.8296655036,6.994880425,9.0860286,3885,1,full_before_split,split_separate
brnn,0.8283668764,6.756917668,8.645168436,1038,1,full_before_split,split_separate
brnn,0.8280061307,7.060245879,8.772892344,431,1,full_before_split,split_separate
brnn,0.8278797099,7.175944413,9.060624114,554,1,full_before_split,split_separate
brnn,0.8277202395,6.727889557,8.702816019,3972,1,full_before_split,split_separate
brnn,0.8276723658,6.968943207,8.630284409,3730,1,full_before_split,split_separate
brnn,0.8273449427,7.153783404,8.888084704,2490,1,full_before_split,split_separate
brnn,0.8271033158,6.809818668,8.732605252,1977,1,full_before_split,split_separate
brnn,0.8269347944,6.928926239,8.796034049,1188,1,full_before_split,split_separate
brnn,0.8266238605,6.758451132,8.829586362,1206,1,full_before_split,split_separate
brnn,0.8266186003,6.721840147,8.830825703,3631,1,full_before_split,split_separate
brnn,0.8265222761,6.880498825,8.923825995,1310,1,full_before_split,split_separate
brnn,0.8263645229,6.821222751,9.064663233,40,1,full_before_split,split_separate
brnn,0.8260490017,6.396577395,8.621946418,1927,1,full_before_split,split_separate
brnn,0.8258555095,7.116771642,9.224325087,1791,1,full_before_split,split_separate
brnn,0.8255974663,6.804226853,9.030912114,632,1,full_before_split,split_separate
brnn,0.8253891242,7.038943573,8.795275594,3,1,full_before_split,split_separate
brnn,0.8253353792,7.126572209,8.950006035,3024,1,full_before_split,split_separate
brnn,0.8252616766,6.640218537,8.856324533,1728,1,full_before_split,split_separate
brnn,0.825163308,7.247093662,9.020402205,3470,1,full_before_split,split_separate
brnn,0.825047925,6.656355388,8.755707769,279,1,full_before_split,split_separate
brnn,0.8250052357,6.634570871,8.7897722,3411,1,full_before_split,split_separate
brnn,0.8246948002,7.337131819,9.41402013,3651,1,full_before_split,split_separate
brnn,0.8243106797,6.773013401,9.001324573,1894,1,full_before_split,split_separate
brnn,0.824226552,6.961970697,8.869239244,3644,1,full_before_split,split_separate
brnn,0.8241398254,6.832270712,9.100196288,3388,1,full_before_split,split_separate
brnn,0.8240691558,7.12317871,8.990665206,3232,1,full_before_split,split_separate
brnn,0.8240232288,7.039079436,8.941406816,124,1,full_before_split,split_separate
brnn,0.8238775326,6.785793552,9.051460233,1502,1,full_before_split,split_separate
brnn,0.8238582279,6.558649626,8.856828651,3272,1,full_before_split,split_separate
brnn,0.823797128,6.7698364,8.955158524,1281,1,full_before_split,split_separate
brnn,0.8237093786,6.717843409,8.7895409,747,1,full_before_split,split_separate
brnn,0.8233941225,6.406988147,8.728644336,27,1,full_before_split,split_separate
brnn,0.823383056,6.913438874,8.973875346,3854,1,full_before_split,split_separate
brnn,0.8232884829,6.892910681,8.880038101,3188,1,full_before_split,split_separate
brnn,0.8232836064,6.877411636,9.190665516,3906,1,full_before_split,split_separate
brnn,0.823009669,7.223551892,9.09672417,609,1,full_before_split,split_separate
brnn,0.8228175896,6.836273595,9.022099503,1898,1,full_before_split,split_separate
brnn,0.8227822882,7.122907727,9.233167842,3186,1,full_before_split,split_separate
brnn,0.8227635089,6.899318825,8.84563567,130,1,full_before_split,split_separate
brnn,0.8227061353,6.657502183,8.901543262,1840,1,full_before_split,split_separate
brnn,0.8226332271,6.885423458,9.16408107,3858,1,full_before_split,split_separate
brnn,0.822594472,7.233313782,9.079991394,331,1,full_before_split,split_separate
brnn,0.822416776,6.975513082,9.150544639,2417,1,full_before_split,split_separate
brnn,0.8223430176,7.048027217,8.992746761,2992,1,full_before_split,split_separate
