Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
rf,0.8848586807,5.839852719,7.355548316,2233,1,full_before_split,split_separate
rf,0.8834536631,5.700155319,7.039038158,2422,1,full_before_split,split_separate
rf,0.8777777554,6.511400946,7.831174148,1381,1,full_before_split,split_separate
rf,0.8769147042,6.134299054,7.765948185,3635,1,full_before_split,split_separate
rf,0.8747138662,6.045811111,7.432451951,3619,1,full_before_split,split_separate
rf,0.8740841001,5.969453428,7.663481702,1704,1,full_before_split,split_separate
rf,0.8722544701,6.648670686,8.074310284,1417,1,full_before_split,split_separate
rf,0.871079618,6.088284161,7.576323506,1655,1,full_before_split,split_separate
rf,0.8707836547,6.16998818,7.697392875,358,1,full_before_split,split_separate
rf,0.8703049413,6.288159574,7.804077199,1084,1,full_before_split,split_separate
rf,0.8699151429,6.087390307,7.816564186,2918,1,full_before_split,split_separate
rf,0.8698486681,6.161495272,7.893965534,2746,1,full_before_split,split_separate
rf,0.8697874089,6.148080142,7.630831752,3082,1,full_before_split,split_separate
rf,0.8690072171,6.567318203,8.112876627,2366,1,full_before_split,split_separate
rf,0.8689748646,6.593223404,7.942755501,1500,1,full_before_split,split_separate
rf,0.8684365371,6.017171631,7.97029778,2151,1,full_before_split,split_separate
rf,0.8682982627,6.306839243,7.98346009,284,1,full_before_split,split_separate
rf,0.8680965762,6.464072813,8.004573765,1897,1,full_before_split,split_separate
rf,0.8680741331,6.417331915,7.791826823,2132,1,full_before_split,split_separate
rf,0.8679288013,6.057788416,7.637684151,167,1,full_before_split,split_separate
rf,0.8676864161,6.646125532,8.248567636,3419,1,full_before_split,split_separate
rf,0.8676617683,5.879745154,7.526230718,1832,1,full_before_split,split_separate
rf,0.8672106342,6.166048227,7.601970227,698,1,full_before_split,split_separate
rf,0.866969924,6.585085579,7.77868833,405,1,full_before_split,split_separate
rf,0.8668076602,6.460598109,7.91593891,148,1,full_before_split,split_separate
rf,0.8661976006,6.243576359,7.715204957,3214,1,full_before_split,split_separate
rf,0.8658600589,5.997273759,7.758021717,927,1,full_before_split,split_separate
rf,0.8658187616,6.519556974,7.831378839,627,1,full_before_split,split_separate
