Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
2174,1,gamboost,0.5899505555,10.19698123,,,,,,,,0.04231925987,0.726043142,0.7270005095
1454,1,gamboost,0.5954530109,10.1813046,,,,,,,,,,
3624,1,gamboost,0.6065354691,10.05023811,,,,,,,,,,
3103,1,gamboost,0.6173531145,10.12421026,,,,,,,,,,
1625,1,gamboost,0.6176872987,10.13229266,,,,,,,,,,
3358,1,gamboost,0.620565904,9.573398211,,,,,,,,,,
3388,1,gamboost,0.6233642049,9.750346149,,,,,,,,,,
2806,1,gamboost,0.6238693324,9.60521748,,,,,,,,,,
1742,1,gamboost,0.624849729,9.985144248,,,,,,,,,,
3582,1,gamboost,0.6277454749,9.44694487,,,,,,,,,,
2188,1,gamboost,0.6293051856,8.888607783,,,,,,,,,,
834,1,gamboost,0.6303745884,10.12728039,,,,,,,,,,
1475,1,gamboost,0.6314559452,9.636992534,,,,,,,,,,
311,1,gamboost,0.631750297,9.283356141,,,,,,,,,,
1654,1,gamboost,0.6318601703,9.349625123,,,,,,,,,,
2659,1,gamboost,0.6322124187,9.790926305,,,,,,,,,,
1350,1,gamboost,0.6362097065,9.932736045,,,,,,,,,,
3603,1,gamboost,0.6367432085,10.14617076,,,,,,,,,,
776,1,gamboost,0.6376789841,9.854222762,,,,,,,,,,
612,1,gamboost,0.6382369574,9.557269893,,,,,,,,,,
401,1,gamboost,0.6385692357,9.660268185,,,,,,,,,,
84,1,gamboost,0.6390745073,9.531156801,,,,,,,,,,
836,1,gamboost,0.6401839367,10.42573807,,,,,,,,,,
3762,1,gamboost,0.6404617399,9.588294088,,,,,,,,,,
2258,1,gamboost,0.640522592,9.425476889,,,,,,,,,,
3914,1,gamboost,0.641772932,10.28583537,,,,,,,,,,
3317,1,gamboost,0.6419812178,9.873680303,,,,,,,,,,
3984,1,gamboost,0.6429409164,9.5523779,,,,,,,,,,
2760,1,gamboost,0.6434547075,10.17779363,,,,,,,,,,
2865,1,gamboost,0.6436559215,9.595216936,,,,,,,,,,
2979,1,gamboost,0.6440319568,9.69687048,,,,,,,,,,
1410,1,gamboost,0.644252234,9.984828146,,,,,,,,,,
3024,1,gamboost,0.644589468,10.01031432,,,,,,,,,,
2542,1,gamboost,0.6449184939,9.856332917,,,,,,,,,,
1014,1,gamboost,0.6454860517,9.075515627,,,,,,,,,,
2636,1,gamboost,0.6456142727,9.415450699,,,,,,,,,,
1863,1,gamboost,0.6457326218,10.00632723,,,,,,,,,,
3572,1,gamboost,0.6457816464,9.974840464,,,,,,,,,,
1765,1,gamboost,0.6470597295,9.691750662,,,,,,,,,,
524,1,gamboost,0.647412659,9.994268975,,,,,,,,,,
2414,1,gamboost,0.6477557678,9.319213611,,,,,,,,,,
3365,1,gamboost,0.6480899568,9.564836536,,,,,,,,,,
659,1,gamboost,0.648091283,9.835034247,,,,,,,,,,
2357,1,gamboost,0.648318225,9.455604301,,,,,,,,,,
517,1,gamboost,0.6485822121,9.845449525,,,,,,,,,,
1528,1,gamboost,0.6486739701,9.274367155,,,,,,,,,,
3726,1,gamboost,0.649322425,9.610742138,,,,,,,,,,
3882,1,gamboost,0.6497377247,9.320676174,,,,,,,,,,
1031,1,gamboost,0.6498073605,9.721552843,,,,,,,,,,
2915,1,gamboost,0.6499628846,9.685273764,,,,,,,,,,
2774,1,gamboost,0.650172367,9.718971003,,,,,,,,,,
1190,1,gamboost,0.6503323425,10.13971701,,,,,,,,,,
922,1,gamboost,0.6512346215,9.543147149,,,,,,,,,,
2694,1,gamboost,0.6517086956,9.656194439,,,,,,,,,,
1036,1,gamboost,0.6520171138,9.796629515,,,,,,,,,,
2241,1,gamboost,0.6521743637,9.249865916,,,,,,,,,,
3177,1,gamboost,0.6522249228,9.814137328,,,,,,,,,,
1966,1,gamboost,0.6523536744,9.511887484,,,,,,,,,,
1844,1,gamboost,0.6525499352,9.708816098,,,,,,,,,,
3702,1,gamboost,0.6526802868,9.587383494,,,,,,,,,,
2700,1,gamboost,0.6531535524,9.549070593,,,,,,,,,,
3906,1,gamboost,0.6534932883,9.799626592,,,,,,,,,,
153,1,gamboost,0.6539191589,9.86082874,,,,,,,,,,
1775,1,gamboost,0.6540184561,9.790455247,,,,,,,,,,
91,1,gamboost,0.6540615771,9.307390176,,,,,,,,,,
1113,1,gamboost,0.6542780918,9.473696323,,,,,,,,,,
1217,1,gamboost,0.6542782404,9.798279754,,,,,,,,,,
1466,1,gamboost,0.6545885669,9.486779902,,,,,,,,,,
3439,1,gamboost,0.6547905565,9.885200399,,,,,,,,,,
2469,1,gamboost,0.6553688168,9.341996845,,,,,,,,,,
3524,1,gamboost,0.6557379714,9.467993891,,,,,,,,,,
3924,1,gamboost,0.6557995237,9.581435451,,,,,,,,,,
90,1,gamboost,0.6558029415,8.952526789,,,,,,,,,,
1317,1,gamboost,0.6558776427,9.739637596,,,,,,,,,,
1555,1,gamboost,0.6560876768,9.334846094,,,,,,,,,,
1339,1,gamboost,0.6570897692,9.527770322,,,,,,,,,,
2206,1,gamboost,0.6570938314,9.290585578,,,,,,,,,,
1647,1,gamboost,0.6576709893,9.371585754,,,,,,,,,,
3886,1,gamboost,0.6577774533,9.000038935,,,,,,,,,,
1865,1,gamboost,0.6582755019,9.264049359,,,,,,,,,,
1847,1,gamboost,0.6584303575,9.477917354,,,,,,,,,,
3575,1,gamboost,0.658440638,10.34541012,,,,,,,,,,
2929,1,gamboost,0.6588666165,9.833781075,,,,,,,,,,
674,1,gamboost,0.658998348,9.833425556,,,,,,,,,,
2041,1,gamboost,0.6590413323,9.870933204,,,,,,,,,,
1432,1,gamboost,0.6590900104,9.649397781,,,,,,,,,,
3205,1,gamboost,0.6591877323,9.891172006,,,,,,,,,,
770,1,gamboost,0.6592967091,9.53661288,,,,,,,,,,
1441,1,gamboost,0.6594647106,9.369815318,,,,,,,,,,
3669,1,gamboost,0.6594724887,9.844926387,,,,,,,,,,
1047,1,gamboost,0.6595729764,9.676078655,,,,,,,,,,
751,1,gamboost,0.6596569108,9.378751862,,,,,,,,,,
2549,1,gamboost,0.6598323626,10.04993803,,,,,,,,,,
