Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
brnn,0.8902840514,5.553186952,7.122994335,2245,1,full_before_split,split_separate
brnn,0.8861382734,5.506408682,7.201641732,376,1,full_before_split,split_separate
brnn,0.8834727531,5.546396811,7.120602491,984,1,full_before_split,split_separate
brnn,0.8829708284,5.451832028,7.191048774,2863,1,full_before_split,split_separate
brnn,0.8818408552,5.706694515,7.330058598,2727,1,full_before_split,split_separate
brnn,0.8813542609,5.561790938,7.393353979,2750,1,full_before_split,split_separate
brnn,0.8812891228,5.639302979,7.148505301,783,1,full_before_split,split_separate
brnn,0.8812853524,5.808107264,7.334724927,902,1,full_before_split,split_separate
brnn,0.8806222299,5.593811519,7.041399711,3926,1,full_before_split,split_separate
brnn,0.8805712553,5.79845479,7.466918849,285,1,full_before_split,split_separate
brnn,0.8789670405,5.769867043,7.252765255,201,1,full_before_split,split_separate
brnn,0.8786934197,5.656494625,7.467169055,847,1,full_before_split,split_separate
brnn,0.8785043764,5.779816603,7.603568274,2241,1,full_before_split,split_separate
brnn,0.8782676885,5.938093469,7.606895465,3852,1,full_before_split,split_separate
brnn,0.8781854142,5.815523939,7.353452872,452,1,full_before_split,split_separate
brnn,0.8780215287,5.685186216,7.456323909,824,1,full_before_split,split_separate
brnn,0.8778621788,5.527953447,7.128295463,2918,1,full_before_split,split_separate
brnn,0.8769513404,5.804266613,7.374601659,2341,1,full_before_split,split_separate
brnn,0.8767072173,5.926501586,7.490878493,3206,1,full_before_split,split_separate
brnn,0.8765542274,5.990605438,7.446615172,3080,1,full_before_split,split_separate
brnn,0.8765404192,5.584695529,7.240547946,377,1,full_before_split,split_separate
brnn,0.8762346355,5.707137262,7.40711891,2117,1,full_before_split,split_separate
brnn,0.8760458797,5.900810456,7.642753041,382,1,full_before_split,split_separate
brnn,0.8760082002,5.609714736,7.50598668,2777,1,full_before_split,split_separate
brnn,0.8758509672,5.773632628,7.437918236,2064,1,full_before_split,split_separate
brnn,0.8758035286,5.988407307,7.650738559,317,1,full_before_split,split_separate
brnn,0.8754815369,5.721880292,7.421692462,1050,1,full_before_split,split_separate
brnn,0.8752930209,5.524067886,7.395438587,1330,1,full_before_split,split_separate
brnn,0.875230302,5.909427128,7.470826132,1226,1,full_before_split,split_separate
brnn,0.8749827037,5.669241249,7.341961437,1380,1,full_before_split,split_separate
brnn,0.8749128877,5.898550096,7.502468996,2105,1,full_before_split,split_separate
brnn,0.8748866626,5.75282019,7.511777793,2096,1,full_before_split,split_separate
brnn,0.8746544988,6.020367677,7.557699895,3735,1,full_before_split,split_separate
brnn,0.874431842,5.752351072,7.494300594,474,1,full_before_split,split_separate
brnn,0.8741569587,5.871096229,7.450446381,2170,1,full_before_split,split_separate
brnn,0.8740417756,6.026317546,7.546620604,2322,1,full_before_split,split_separate
brnn,0.8738928456,6.101634114,7.665072582,293,1,full_before_split,split_separate
brnn,0.8738491031,6.039772526,7.789683002,3029,1,full_before_split,split_separate
brnn,0.8735196044,6.020888388,7.736636907,1372,1,full_before_split,split_separate
brnn,0.8733124841,6.171401934,7.962786416,610,1,full_before_split,split_separate
brnn,0.8732795796,5.9645474,7.526982657,1159,1,full_before_split,split_separate
brnn,0.8729998705,5.982242677,7.639577349,2768,1,full_before_split,split_separate
brnn,0.8727943017,5.672278847,7.636453863,2677,1,full_before_split,split_separate
brnn,0.8726467366,5.742338902,7.497464626,1654,1,full_before_split,split_separate
brnn,0.872399209,5.727286907,7.60374959,3224,1,full_before_split,split_separate
brnn,0.872096218,6.120239379,7.70957826,2097,1,full_before_split,split_separate
brnn,0.8720041469,5.657818017,7.307402022,3190,1,full_before_split,split_separate
brnn,0.8718998201,5.888445383,7.570140248,3664,1,full_before_split,split_separate
brnn,0.8716338598,5.82562611,7.805740623,2650,1,full_before_split,split_separate
brnn,0.8714007083,5.605080263,7.660170878,2085,1,full_before_split,split_separate
brnn,0.871168752,6.365765568,7.791091031,1308,1,full_before_split,split_separate
brnn,0.8709353772,6.153763854,7.817810258,1920,1,full_before_split,split_separate
brnn,0.8708152591,5.724407353,7.437077506,1677,1,full_before_split,split_separate
brnn,0.8705284804,5.614351258,7.520207115,851,1,full_before_split,split_separate
brnn,0.8704494585,6.136213332,7.816101889,413,1,full_before_split,split_separate
brnn,0.870224034,6.08229392,7.643770449,3570,1,full_before_split,split_separate
brnn,0.8702055902,6.02881497,7.56661912,4000,1,full_before_split,split_separate
brnn,0.8701151297,6.037030146,7.802979344,2077,1,full_before_split,split_separate
brnn,0.869852389,5.874391561,7.564810612,1707,1,full_before_split,split_separate
brnn,0.8697974818,5.924635046,7.483653443,2651,1,full_before_split,split_separate
brnn,0.8695820046,6.274077384,7.912605152,3335,1,full_before_split,split_separate
brnn,0.8695676723,6.21006795,8.024753384,2305,1,full_before_split,split_separate
brnn,0.8693813859,5.726242513,7.470467835,2663,1,full_before_split,split_separate
brnn,0.8693762386,5.725656349,7.483393109,2826,1,full_before_split,split_separate
brnn,0.8693733837,5.995244065,7.541195523,1357,1,full_before_split,split_separate
brnn,0.8692062165,6.172266003,7.705203629,1125,1,full_before_split,split_separate
brnn,0.8690033462,5.862009852,7.876280264,129,1,full_before_split,split_separate
brnn,0.8688031377,5.924818122,7.825479214,108,1,full_before_split,split_separate
brnn,0.8686815494,5.778713639,7.770893524,3125,1,full_before_split,split_separate
brnn,0.8686802407,5.884537207,7.915306569,1729,1,full_before_split,split_separate
brnn,0.8686750586,6.004345456,7.525974178,548,1,full_before_split,split_separate
brnn,0.8686213648,5.867347887,7.720539537,2408,1,full_before_split,split_separate
brnn,0.8685807182,5.799701519,7.719531381,308,1,full_before_split,split_separate
