GSM,sex,age,cg18335796,cg06281795,cg20989777,cg25492971,cg08992872,cg12402251,cg13889963,cg26290632
GSM2333901,0,72,0.560303894441687,0.0253078783921869,0.155634737214898,0.923719030605947,0.131715174208075,0.128582895912599,0.302847918031313,0.309974598404017
GSM2333902,0,55,0.587735002124674,0.0279017412947838,0.0789970547213525,0.880868027345942,0.10727187269354,0.122887807185029,0.249917541338892,0.257821791934595
GSM2333903,0,23,0.461545653950318,0.020663717436512,0.0789609906945042,0.95361684395782,0.0723343528725364,0.0942623124428136,0.304342262231544,0.152984846300078
GSM2333904,0,86,0.620981923703863,0.0247217741747688,0.0970038549873945,0.935501858546027,0.14945846969982,0.17581423183911,0.277710801772456,0.306213919252711
GSM2333905,0,74,0.566656355358189,0.0349576272861589,0.0914639559440679,0.932652182041969,0.110640221305061,0.180673647154087,0.289143962622488,0.283717582355554
GSM2333906,1,76,0.649688147906862,0.0350210613089687,0.111903847609919,0.889020755853926,0.244054727567496,0.191463214100179,0.364237659647364,0.317015362148547
GSM2333907,0,18,0.538087861010663,0.0260429090752292,0.0850842415268377,0.888266344948749,0.0776386465577383,0.099307824742153,0.254828583138942,0.127178176886833
GSM2333908,0,38,0.472052260433374,0.0322215104371393,0.0656984705579204,0.891509290666166,0.107346167356946,0.0882538567068954,0.286264962992794,0.207960627500648
GSM2333909,1,33,0.583165688421334,0.0289798867127366,0.0733077621312136,0.89281129324421,0.0956589028553947,0.142009702438411,0.2882213660468,0.270690489650845
GSM2333910,1,34,0.516264947019786,0.030723091126922,0.0815281467118456,0.888512054005095,0.0957760195007357,0.118041128874769,0.271160410860672,0.220151650181086
GSM2333911,1,86,0.580948167331231,0.0236924346686123,0.0911709406044993,0.92821923110221,0.19420524524834,0.153147852028293,0.297161359191433,0.387221833978283
GSM2333912,1,18,0.507510033214775,0.0393151751907765,0.0661092750578003,0.899459112552892,0.0578576416511643,0.103463461110194,0.271442805209618,0.126407275052361
GSM2333913,0,65,0.605933868908165,0.0282304866887599,0.100663458614,0.909886419642689,0.129809682673007,0.123961490556749,0.244174339114413,0.247878153758782
GSM2333914,0,55,0.573414221899604,0.0453452392997162,0.121488292612863,0.925404715293681,0.193112056274459,0.149710922530713,0.362445981795989,0.327981827746917
GSM2333915,1,65,0.533571314697503,0.0305525102527533,0.105302073843321,0.927806505620811,0.125419684010035,0.142186387327733,0.260810968645782,0.24135483118768
